InquiryID, CUSIP, Quantity, Side, Price, InquiryState
1,9128285Q9,2000000,BUY,100-292,RECEIVED
2,9128285R7,3000000,SELL,99-073,RECEIVED
3,9128285P1,1000000,BUY,100-162,RECEIVED
4,9128285N6,3000000,BUY,99-102,RECEIVED
5,9128285M8,4000000,BUY,100-305,RECEIVED
6,912810SE9,3000000,SELL,100-207,RECEIVED
7,9128285Q9,1000000,SELL,99-122,RECEIVED
8,9128285R7,2000000,SELL,99-260,RECEIVED
9,9128285P1,1000000,BUY,99-157,RECEIVED
10,9128285N6,1000000,BUY,99-256,RECEIVED
11,9128285M8,1000000,SELL,100-047,RECEIVED
12,912810SE9,4000000,SELL,99-041,RECEIVED
13,9128285Q9,6000000,BUY,99-027,RECEIVED
14,9128285R7,3000000,BUY,99-245,RECEIVED
15,9128285P1,4000000,BUY,100-283,RECEIVED
16,9128285N6,1000000,BUY,100-153,RECEIVED
17,9128285M8,3000000,BUY,100-252,RECEIVED
18,912810SE9,1000000,SELL,100-29+,RECEIVED
19,9128285Q9,2000000,BUY,100-11+,RECEIVED
20,9128285R7,6000000,BUY,99-001,RECEIVED
21,9128285P1,6000000,BUY,100-143,RECEIVED
22,9128285N6,2000000,SELL,99-01+,RECEIVED
23,9128285M8,4000000,SELL,99-272,RECEIVED
24,912810SE9,4000000,SELL,99-306,RECEIVED
25,9128285Q9,1000000,SELL,100-135,RECEIVED
26,9128285R7,2000000,SELL,100-15+,RECEIVED
27,9128285P1,6000000,BUY,100-062,RECEIVED
28,9128285N6,6000000,SELL,99-055,RECEIVED
29,9128285M8,3000000,SELL,100-282,RECEIVED
30,912810SE9,6000000,SELL,100-003,RECEIVED
31,9128285Q9,1000000,SELL,99-042,RECEIVED
32,9128285R7,1000000,BUY,100-260,RECEIVED
33,9128285P1,5000000,SELL,99-015,RECEIVED
34,9128285N6,3000000,BUY,99-202,RECEIVED
35,9128285M8,4000000,BUY,100-076,RECEIVED
36,912810SE9,6000000,SELL,99-046,RECEIVED
37,9128285Q9,6000000,SELL,100-116,RECEIVED
38,9128285R7,4000000,BUY,100-26+,RECEIVED
39,9128285P1,2000000,SELL,100-206,RECEIVED
40,9128285N6,6000000,BUY,99-107,RECEIVED
41,9128285M8,1000000,SELL,99-216,RECEIVED
42,912810SE9,3000000,BUY,100-192,RECEIVED
43,9128285Q9,3000000,BUY,99-213,RECEIVED
44,9128285R7,4000000,SELL,100-036,RECEIVED
45,9128285P1,2000000,SELL,99-182,RECEIVED
46,9128285N6,1000000,SELL,100-002,RECEIVED
47,9128285M8,6000000,SELL,100-103,RECEIVED
48,912810SE9,3000000,BUY,99-301,RECEIVED
49,9128285Q9,5000000,BUY,99-152,RECEIVED
50,9128285R7,3000000,BUY,99-200,RECEIVED
51,9128285P1,4000000,BUY,99-315,RECEIVED
52,9128285N6,4000000,BUY,99-236,RECEIVED
53,9128285M8,3000000,SELL,100-28+,RECEIVED
54,912810SE9,6000000,BUY,99-180,RECEIVED
55,9128285Q9,1000000,BUY,99-08+,RECEIVED
56,9128285R7,5000000,SELL,99-256,RECEIVED
57,9128285P1,3000000,BUY,99-052,RECEIVED
58,9128285N6,4000000,BUY,100-296,RECEIVED
59,9128285M8,1000000,SELL,100-015,RECEIVED
60,912810SE9,2000000,BUY,99-077,RECEIVED
