CUSIP, Mid, Spread
9128285Q9,100-287,0-003
9128285R7,100-195,0-004
9128285P1,100-216,0-004
9128285N6,99-142,0-004
9128285M8,100-233,0-003
912810SE9,99-150,0-004
9128285Q9,99-126,0-004
9128285R7,100-125,0-004
9128285P1,100-175,0-003
9128285N6,99-200,0-003
9128285M8,99-003,0-003
912810SE9,100-141,0-004
9128285Q9,99-086,0-002
9128285R7,99-235,0-002
9128285P1,99-14+,0-003
9128285N6,99-307,0-004
9128285M8,100-020,0-003
912810SE9,99-286,0-002
9128285Q9,99-173,0-003
9128285R7,100-253,0-002
9128285P1,100-025,0-004
9128285N6,100-257,0-002
9128285M8,99-193,0-004
912810SE9,99-196,0-003
9128285Q9,99-066,0-003
9128285R7,100-067,0-004
9128285P1,99-146,0-003
9128285N6,100-202,0-004
9128285M8,99-10+,0-004
912810SE9,99-036,0-003
9128285Q9,99-026,0-003
9128285R7,100-027,0-004
9128285P1,99-313,0-003
9128285N6,100-051,0-002
9128285M8,99-28+,0-003
912810SE9,100-01+,0-003
9128285Q9,100-197,0-003
9128285R7,99-017,0-003
9128285P1,99-291,0-002
9128285N6,100-247,0-004
9128285M8,100-035,0-003
912810SE9,100-291,0-003
9128285Q9,100-037,0-004
9128285R7,99-017,0-004
9128285P1,100-005,0-002
9128285N6,100-226,0-004
9128285M8,99-155,0-003
912810SE9,100-220,0-004
9128285Q9,99-020,0-002
9128285R7,99-196,0-002
9128285P1,100-267,0-002
9128285N6,99-087,0-004
9128285M8,100-151,0-004
912810SE9,100-137,0-002
9128285Q9,100-23+,0-002
9128285R7,99-297,0-004
9128285P1,99-117,0-002
9128285N6,100-035,0-004
9128285M8,99-290,0-003
912810SE9,100-06+,0-004
9128285Q9,100-166,0-003
9128285R7,100-046,0-003
9128285P1,99-255,0-002
9128285N6,99-103,0-003
9128285M8,100-22+,0-002
912810SE9,100-270,0-003
9128285Q9,100-120,0-003
9128285R7,99-083,0-002
9128285P1,100-111,0-003
9128285N6,99-251,0-004
9128285M8,99-100,0-002
912810SE9,100-06+,0-002
9128285Q9,99-09+,0-004
9128285R7,100-266,0-003
9128285P1,100-211,0-003
9128285N6,100-056,0-003
9128285M8,99-317,0-002
912810SE9,99-180,0-004
9128285Q9,100-003,0-004
9128285R7,100-235,0-002
9128285P1,99-153,0-004
9128285N6,100-007,0-004
9128285M8,100-226,0-003
912810SE9,100-280,0-004
9128285Q9,99-056,0-003
9128285R7,99-256,0-002
9128285P1,99-203,0-002
9128285N6,99-042,0-003
9128285M8,100-230,0-002
912810SE9,100-295,0-002
9128285Q9,100-047,0-003
9128285R7,99-152,0-002
9128285P1,99-057,0-002
9128285N6,99-056,0-003
9128285M8,100-257,0-003
912810SE9,100-260,0-004
9128285Q9,99-181,0-002
9128285R7,100-223,0-004
9128285P1,100-082,0-004
9128285N6,99-085,0-002
9128285M8,100-272,0-003
912810SE9,99-08+,0-004
9128285Q9,100-106,0-002
9128285R7,100-093,0-004
9128285P1,100-091,0-003
9128285N6,100-245,0-003
9128285M8,100-173,0-004
912810SE9,99-152,0-002
9128285Q9,100-26+,0-003
9128285R7,100-243,0-002
9128285P1,100-011,0-004
9128285N6,99-155,0-002
9128285M8,100-087,0-003
912810SE9,99-080,0-002
9128285Q9,100-062,0-003
9128285R7,99-252,0-004
9128285P1,100-03+,0-003
9128285N6,99-305,0-002
9128285M8,100-175,0-002
912810SE9,100-295,0-004
9128285Q9,99-286,0-003
9128285R7,99-317,0-002
9128285P1,99-077,0-003
9128285N6,100-12+,0-003
9128285M8,100-253,0-002
912810SE9,100-046,0-004
9128285Q9,100-152,0-004
9128285R7,100-155,0-002
9128285P1,99-077,0-004
9128285N6,100-267,0-003
9128285M8,99-035,0-003
912810SE9,100-053,0-002
9128285Q9,99-097,0-003
9128285R7,100-022,0-003
9128285P1,100-275,0-002
9128285N6,99-295,0-002
9128285M8,100-230,0-004
912810SE9,99-05+,0-002
9128285Q9,100-002,0-002
9128285R7,100-080,0-002
9128285P1,100-300,0-004
9128285N6,100-096,0-002
