CUSIP, Trade ID, Price, Quantity, Book, Side
9128285Q9,1,100-251,1000000,TRSY1,SELL
9128285R7,2,100-187,2000000,TRSY2,SELL
9128285P1,3,99-132,5000000,TRSY3,SELL
9128285N6,4,100-10+,3000000,TRSY1,BUY
9128285M8,5,100-251,5000000,TRSY1,BUY
912810SE9,6,100-085,3000000,TRSY2,BUY
9128285Q9,7,99-195,4000000,TRSY3,BUY
9128285R7,8,99-025,3000000,TRSY1,SELL
9128285P1,9,100-22+,5000000,TRSY2,BUY
9128285N6,10,99-006,1000000,TRSY2,BUY
9128285M8,11,99-172,4000000,TRSY2,SELL
912810SE9,12,99-177,2000000,TRSY3,SELL
9128285Q9,13,99-305,3000000,TRSY2,BUY
9128285R7,14,99-236,1000000,TRSY3,SELL
9128285P1,15,99-142,1000000,TRSY1,BUY
9128285N6,16,99-102,5000000,TRSY3,SELL
9128285M8,17,99-060,2000000,TRSY3,BUY
912810SE9,18,100-262,1000000,TRSY3,BUY
9128285Q9,19,100-242,2000000,TRSY2,SELL
9128285R7,20,100-191,5000000,TRSY2,BUY
9128285P1,21,100-093,1000000,TRSY1,BUY
9128285N6,22,100-26+,5000000,TRSY2,BUY
9128285M8,23,100-082,3000000,TRSY2,BUY
912810SE9,24,99-006,2000000,TRSY3,SELL
9128285Q9,25,99-266,1000000,TRSY2,SELL
9128285R7,26,99-247,3000000,TRSY1,BUY
9128285P1,27,100-120,5000000,TRSY3,SELL
9128285N6,28,99-111,3000000,TRSY3,SELL
9128285M8,29,100-312,2000000,TRSY2,BUY
912810SE9,30,100-210,3000000,TRSY3,BUY
9128285Q9,31,99-081,4000000,TRSY1,SELL
9128285R7,32,99-173,2000000,TRSY3,SELL
9128285P1,33,99-190,1000000,TRSY1,BUY
9128285N6,34,100-090,1000000,TRSY3,SELL
9128285M8,35,100-230,5000000,TRSY2,BUY
912810SE9,36,100-040,5000000,TRSY3,BUY
9128285Q9,37,100-035,1000000,TRSY2,SELL
9128285R7,38,100-186,3000000,TRSY3,SELL
9128285P1,39,99-313,3000000,TRSY2,BUY
9128285N6,40,100-05+,2000000,TRSY2,BUY
9128285M8,41,100-193,4000000,TRSY2,BUY
912810SE9,42,100-251,1000000,TRSY1,BUY
9128285Q9,43,99-180,2000000,TRSY1,BUY
9128285R7,44,100-211,2000000,TRSY3,SELL
9128285P1,45,100-150,1000000,TRSY2,BUY
9128285N6,46,100-14+,4000000,TRSY1,SELL
9128285M8,47,100-14+,2000000,TRSY3,BUY
912810SE9,48,100-242,2000000,TRSY1,BUY
9128285Q9,49,100-180,5000000,TRSY2,BUY
9128285R7,50,99-196,1000000,TRSY2,BUY
9128285P1,51,99-115,4000000,TRSY3,SELL
9128285N6,52,100-145,3000000,TRSY2,SELL
9128285M8,53,100-120,5000000,TRSY2,SELL
912810SE9,54,100-011,3000000,TRSY1,SELL
9128285Q9,55,99-21+,2000000,TRSY3,BUY
9128285R7,56,99-123,3000000,TRSY1,BUY
9128285P1,57,99-156,2000000,TRSY3,SELL
9128285N6,58,99-297,5000000,TRSY1,BUY
9128285M8,59,99-206,3000000,TRSY2,BUY
912810SE9,60,100-083,4000000,TRSY1,BUY
