2018-12-24 18:43:36 , CUSIP: 9128285Q9 , AggregatePosition: -1000000 , TRSY0: 0 , TRSY1: -1000000 , TRSY2: 0
2018-12-24 18:43:36 , CUSIP: 9128285R7 , AggregatePosition: -2000000 , TRSY0: 0 , TRSY1: 0 , TRSY2: -2000000
2018-12-24 18:43:36 , CUSIP: 9128285P1 , AggregatePosition: -5000000 , TRSY0: 0 , TRSY1: 0 , TRSY2: 0
2018-12-24 18:43:36 , CUSIP: 9128285N6 , AggregatePosition: 3000000 , TRSY0: 0 , TRSY1: 3000000 , TRSY2: 0
2018-12-24 18:43:36 , CUSIP: 9128285M8 , AggregatePosition: 5000000 , TRSY0: 0 , TRSY1: 5000000 , TRSY2: 0
2018-12-24 18:43:36 , CUSIP: 912810SE9 , AggregatePosition: 3000000 , TRSY0: 0 , TRSY1: 0 , TRSY2: 3000000
2018-12-24 18:43:36 , CUSIP: 9128285Q9 , AggregatePosition: 3000000 , TRSY0: 0 , TRSY1: -1000000 , TRSY2: 0
2018-12-24 18:43:36 , CUSIP: 9128285R7 , AggregatePosition: -5000000 , TRSY0: 0 , TRSY1: -3000000 , TRSY2: -2000000
2018-12-24 18:43:36 , CUSIP: 9128285P1 , AggregatePosition: 0 , TRSY0: 0 , TRSY1: 0 , TRSY2: 5000000
2018-12-24 18:43:36 , CUSIP: 9128285N6 , AggregatePosition: 4000000 , TRSY0: 0 , TRSY1: 3000000 , TRSY2: 1000000
2018-12-24 18:43:36 , CUSIP: 9128285M8 , AggregatePosition: 1000000 , TRSY0: 0 , TRSY1: 5000000 , TRSY2: -4000000
2018-12-24 18:43:36 , CUSIP: 912810SE9 , AggregatePosition: 1000000 , TRSY0: 0 , TRSY1: 0 , TRSY2: 3000000
2018-12-24 18:43:36 , CUSIP: 9128285Q9 , AggregatePosition: 6000000 , TRSY0: 0 , TRSY1: -1000000 , TRSY2: 3000000
2018-12-24 18:43:36 , CUSIP: 9128285R7 , AggregatePosition: -6000000 , TRSY0: 0 , TRSY1: -3000000 , TRSY2: -2000000
2018-12-24 18:43:36 , CUSIP: 9128285P1 , AggregatePosition: 1000000 , TRSY0: 0 , TRSY1: 1000000 , TRSY2: 5000000
2018-12-24 18:43:36 , CUSIP: 9128285N6 , AggregatePosition: -1000000 , TRSY0: 0 , TRSY1: 3000000 , TRSY2: 1000000
2018-12-24 18:43:36 , CUSIP: 9128285M8 , AggregatePosition: 3000000 , TRSY0: 0 , TRSY1: 5000000 , TRSY2: -4000000
2018-12-24 18:43:36 , CUSIP: 912810SE9 , AggregatePosition: 2000000 , TRSY0: 0 , TRSY1: 0 , TRSY2: 3000000
2018-12-24 18:43:36 , CUSIP: 9128285Q9 , AggregatePosition: 4000000 , TRSY0: 0 , TRSY1: -1000000 , TRSY2: 1000000
2018-12-24 18:43:36 , CUSIP: 9128285R7 , AggregatePosition: -1000000 , TRSY0: 0 , TRSY1: -3000000 , TRSY2: 3000000
