2018-12-24 18:43:06 , CUSIP: 9128285Q9 , Bid: 100.896 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 100.908 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:06 , CUSIP: 9128285R7 , Bid: 100.605 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 100.621 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:06 , CUSIP: 9128285P1 , Bid: 100.672 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 100.688 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:07 , CUSIP: 9128285N6 , Bid: 99.4375 , BidVisibleQuantity: 2000000 , BidHiddenQuantity: 4000000 , Ask: 99.4531 , AskVisibleQuantity: 2000000 , AskHiddenQuantity: 4000000
2018-12-24 18:43:07 , CUSIP: 9128285M8 , Bid: 100.725 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 100.736 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:07 , CUSIP: 912810SE9 , Bid: 99.4609 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 99.4766 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:08 , CUSIP: 9128285Q9 , Bid: 99.3906 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 99.4062 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:08 , CUSIP: 9128285R7 , Bid: 100.387 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 100.402 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:08 , CUSIP: 9128285P1 , Bid: 100.545 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 100.557 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:09 , CUSIP: 9128285N6 , Bid: 99.6191 , BidVisibleQuantity: 1000000 , BidHiddenQuantity: 2000000 , Ask: 99.6309 , AskVisibleQuantity: 1000000 , AskHiddenQuantity: 2000000
2018-12-24 18:43:09 , CUSIP: 9128285M8 , Bid: 99.0059 , BidVisibleQuantity: 2000000 , BidHiddenQuantity: 4000000 , Ask: 99.0176 , AskVisibleQuantity: 2000000 , AskHiddenQuantity: 4000000
